,Unnamed: 0,X,Y,LandUse,Latitude,Longitude,red,green,blue,nir,swir1,swir2,NDVI,NBR,NDWI_2,SCI,PNDVI,CVI,CCCI,NBR2,bs,pv,npv,NDVI_coeff_var
0,0,618522.8899,6218452.029,Forest,-34.16815481,-55.71406081,399,405,199,2410,1543,735,0.7159131363474546,0.5325914149443561,-0.7122557726465364,-0.2193270933468252,0.412247289774392,5.8624599908550525,0.7159131363474546,0.3546971027216857,5.0,66.0,27.0,0.07722164238656386
1,1,649042.3861,6199719.402000002,Forest,-34.33311299,-55.37980311,423,445,240,2636,1663,813,0.7234390323635175,0.528559002609452,-0.7111327491074326,-0.22633170504768552,0.4081196581196581,5.630743592980684,0.7234390323635175,0.3432956381260097,4.0,69.0,24.0,0.0766897238477299
2,2,655993.6095,6200009.045,Forest,-34.32947904,-55.30431941,330,412,165,3161,1427,603,0.8109424233743913,0.679596174282678,-0.769381472152253,-0.3779424585876199,0.5540806293018682,6.145312941841833,0.8109424233743913,0.4059113300492611,3.0,75.0,19.0,0.08585402887966923
3,3,656440.0958,6200236.666,Forest,-34.32735987,-55.29950931,754,660,424,2350,2610,1602,0.5141752577319587,0.18927125506072875,-0.5614617940199336,0.05241935483870968,0.12225405921680993,4.067722681359045,0.5141752577319587,0.23931623931623933,3.0,50.0,45.0,0.181593648849894
4,4,656825.7859,6199755.161,Forest,-34.33164209,-55.29523070000001,511,542,329,2542,2013,1108,0.665247297739928,0.39287671232876714,-0.648508430609598,-0.11613611416026344,0.29561671763506625,4.421787557358969,0.665247297739928,0.2899711630887536,3.0,67.0,27.0,0.07475448661906257
5,5,658215.0172,6197898.2820000015,Forest,-34.3481695,-55.27979325,356,338,206,2111,1326,686,0.7113903526550466,0.509474436896675,-0.7239689669252756,-0.22839685772475996,0.40219196280305547,6.578166030601169,0.7113903526550466,0.31809145129224653,1.0,62.0,33.0,0.08462271482137645
6,6,568101.5392,6193423.091,Forest,-34.39837229,-56.25908487,438,531,247,2971,1714,823,0.7430331475506013,0.56615709014233,-0.6967447173043975,-0.26830309498399146,0.4191545259135419,4.61517018311043,0.7430331475506013,0.3512022073314939,8.0,74.0,14.0,0.0689805805172229
7,7,624926.3668,6201705.892000001,Forest,-34.3183909,-55.64217887,516,553,348,2404,1716,1313,0.6465753424657534,0.29351627656712403,-0.6259722691917484,-0.1669902912621359,0.2583093431038995,4.056335817454686,0.6465753424657534,0.13304721030042918,10.0,61.0,21.0,0.1617972845070351
8,8,625538.4329,6203790.982000002,Forest,-34.29951801,-55.63583212,795,775,435,3038,2539,1539,0.5851813201147926,0.32750710072099626,-0.5934959349593496,-0.0894746279361664,0.20483838984731312,4.02116129032258,0.5851813201147926,0.24521824423737126,11.0,61.0,23.0,0.0978453142948304
9,9,568655.7054,6197110.685,Forest,-34.36508242,-56.25335146,260,391,199,3139,1264,577,0.8470138275963519,0.6894510226049516,-0.7784702549575071,-0.4258460140813082,0.5738280270744548,5.338400455256049,0.8470138275963519,0.37316675719717546,0.0,85.0,10.0,0.14396233997474983
10,10,569173.1078,6197378.16,Forest,-34.36263598,-56.24774656,230,385,135,3537,1060,458,0.8778869126625962,0.7707133917396746,-0.8036715961244263,-0.5388296715249076,0.6501049685094472,5.488345420812953,0.8778869126625962,0.3965744400527009,0.0,77.0,15.0,0.015858795881740134
11,11,579445.7112,6194935.472,Forest,-34.38392507,-56.13581688,478,578,269,2783,1761,940,0.7068383931309414,0.49503088906795595,-0.6560547456114252,-0.2249119718309859,0.3549172346640701,3.981854862848864,0.7068383931309414,0.3039614957423177,10.0,71.0,15.0,0.12652375361382143
12,12,585442.8311,6216933.8089999985,Forest,-34.1850811,-56.07277086,261,412,201,2749,1273,545,0.826578073089701,0.6690953248330298,-0.7393229990509332,-0.3669816011934361,0.5175269113993928,4.226888726552927,0.826578073089701,0.4004400440044004,5.0,86.0,5.0,0.04668723094269883
13,13,585828.9273,6217407.929,Forest,-34.18077401,-56.0686284,248,386,184,2868,1299,564,0.8408215661103979,0.6713286713286714,-0.7627535341118623,-0.37652987760979123,0.5561584373304395,4.773712045960965,0.8408215661103979,0.394524959742351,2.0,86.0,8.0,0.041629156702059286
