asdf_id,gpw_v4_count.2000.sum,gpw_v4_count.2015.sum,adm,gbid,Name,Level,adm_int,feature_id,iso,gqid
0,220181.4375,368984.71875,ADM2,TZA_ADM2_1_3_3_0,Bagamoyo,ADM2,2,0,TZA,0
1,257252.578125,526477.625,ADM2,TZA_ADM2_1_3_3_1,Bariadi,ADM2,2,1,TZA,1
2,198668.8125,350763.09375,ADM2,TZA_ADM2_1_3_3_2,Chunya,ADM2,2,2,TZA,2
3,480484.28125,999871.8125,ADM2,TZA_ADM2_1_3_3_3,Geita,ADM2,2,3,TZA,3
4,205055.671875,269527.34375,ADM2,TZA_ADM2_1_3_3_4,Iramba,ADM2,2,4,TZA,4
5,252675.859375,282733.625,ADM2,TZA_ADM2_1_3_3_5,Iringa,ADM2,2,5,TZA,5
6,146919.4375,251363.34375,ADM2,TZA_ADM2_1_3_3_6,Kalambo,ADM2,2,6,TZA,6
7,277998.0625,392065.25,ADM2,TZA_ADM2_1_3_3_7,Karagwe,ADM2,2,7,TZA,7
8,206778.40625,314031.40625,ADM2,TZA_ADM2_1_3_3_8,Kibondo,ADM2,2,8,TZA,8
9,165244.15625,205060.140625,ADM2,TZA_ADM2_1_3_3_9,Kilwa,ADM2,2,9,TZA,9
10,962537.5625,2129804.75,ADM2,TZA_ADM2_1_3_3_10,Kinondoni,ADM2,2,10,TZA,10
11,218287.96875,314695.03125,ADM2,TZA_ADM2_1_3_3_11,Kondoa,ADM2,2,11,TZA,11
12,417907.75,562035.25,ADM2,TZA_ADM2_1_3_3_12,Lushoto,ADM2,2,12,TZA,12
13,101202.0625,199691.265625,ADM2,TZA_ADM2_1_3_3_13,Monduli,ADM2,2,13,TZA,13
14,200311.234375,249294.25,ADM2,TZA_ADM2_1_3_3_14,Mtwara,ADM2,2,14,TZA,14
15,117892.84375,148255.296875,ADM2,TZA_ADM2_1_3_3_15,Njombe Urban,ADM2,2,15,TZA,15
16,416300.9375,584426.8125,ADM2,TZA_ADM2_1_3_3_16,Nzega,ADM2,2,16,TZA,16
17,246139.859375,285253.65625,ADM2,TZA_ADM2_1_3_3_17,Rombo,ADM2,2,17,TZA,17
18,134696.1875,186448.34375,ADM2,TZA_ADM2_1_3_3_18,Shinyanga Urban,ADM2,2,18,TZA,18
19,271149.5,390616.8125,ADM2,TZA_ADM2_1_3_3_19,Tarime,ADM2,2,19,TZA,19
20,242018.53125,338378.875,ADM2,TZA_ADM2_1_3_3_20,Tunduru,ADM2,2,20,TZA,20
21,231141.5625,370862.71875,ADM2,TZA_ADM2_1_3_3_21,Ukerewe,ADM2,2,21,TZA,21
22,235151.046875,330702.71875,ADM2,TZA_ADM2_1_3_3_22,Bukoba,ADM2,2,22,TZA,22
23,322580.71875,465510.25,ADM2,TZA_ADM2_1_3_3_23,Igunga,ADM2,2,23,TZA,23
24,600026.625,1651262.125,ADM2,TZA_ADM2_1_3_3_24,Ilala,ADM2,2,24,TZA,24
25,191917.140625,391848.40625,ADM2,TZA_ADM2_1_3_3_25,Itilima,ADM2,2,25,TZA,25
26,332197.4375,503198.3125,ADM2,TZA_ADM2_1_3_3_26,Kasulu,ADM2,2,26,TZA,26
27,45293.2929688,88320.015625,ADM2,TZA_ADM2_1_3_3_27,Kibaha,ADM2,2,27,TZA,27
28,242119.53125,310882.59375,ADM2,TZA_ADM2_1_3_3_28,Kishapu,ADM2,2,28,TZA,28
29,204811.578125,281114.5,ADM2,TZA_ADM2_1_3_3_29,Korogwe,ADM2,2,29,TZA,29
30,185442.71875,215380.234375,ADM2,TZA_ADM2_1_3_3_30,Lindi,ADM2,2,30,TZA,30
31,319120.125,323821.03125,ADM2,TZA_ADM2_1_3_3_31,Magu,ADM2,2,31,TZA,31
32,267740.78125,367874.875,ADM2,TZA_ADM2_1_3_3_32,Mbeya,ADM2,2,32,TZA,32
33,233896.90625,304094.1875,ADM2,TZA_ADM2_1_3_3_33,Meru,ADM2,2,33,TZA,33
34,247617.453125,356668.21875,ADM2,TZA_ADM2_1_3_3_34,Mpwapwa,ADM2,2,34,TZA,34
35,239851.46875,302202.28125,ADM2,TZA_ADM2_1_3_3_35,Mufindi,ADM2,2,35,TZA,35
36,110372.242188,142039.015625,ADM2,TZA_ADM2_1_3_3_36,Mwanga,ADM2,2,36,TZA,36
37,185433.0625,231926.890625,ADM2,TZA_ADM2_1_3_3_37,Newala,ADM2,2,37,TZA,37
38,90306.875,187320.890625,ADM2,TZA_ADM2_1_3_3_38,Nyang'hwale,ADM2,2,38,TZA,38
39,173410.078125,306822.46875,ADM2,TZA_ADM2_1_3_3_39,Serengeti,ADM2,2,39,TZA,39
