,X,Y,LandUse,Latitude,Longitude
0,618522.8899,6218452.029,Forest,-34.16815481,-55.71406081
1,649042.3861,6199719.402000001,Forest,-34.33311299,-55.37980311
2,655993.6095,6200009.045,Forest,-34.32947904,-55.30431941
3,656440.0958,6200236.666,Forest,-34.32735987,-55.29950931
4,656825.7859,6199755.161,Forest,-34.33164209,-55.295230700000005
5,658215.0172,6197898.282000001,Forest,-34.3481695,-55.27979325
6,568101.5392,6193423.091,Forest,-34.39837229,-56.25908487
7,624926.3668,6201705.892000001,Forest,-34.3183909,-55.64217887
8,625538.4329,6203790.982000001,Forest,-34.29951801,-55.63583212
9,568655.7054,6197110.685,Forest,-34.36508242,-56.25335146
10,569173.1078,6197378.16,Forest,-34.36263598,-56.24774656
11,579445.7112,6194935.472,Forest,-34.38392507,-56.13581688
12,585442.8311,6216933.808999999,Forest,-34.1850811,-56.07277086
13,585828.9273,6217407.929,Forest,-34.18077401,-56.0686284
14,586365.6435,6217084.815,Forest,-34.18364333,-56.06277269
15,595160.9778,6201464.082,Forest,-34.32373059,-55.965617599999995
16,598621.5448,6213036.27,Forest,-34.2190614,-55.92933113
17,616830.2136,6205609.839,Forest,-34.28413579,-55.73068577
18,631616.5852,6220820.065,Forest,-34.14523435,-55.57239423
19,641890.9784,6217816.48,Forest,-34.17096664,-55.46049356
20,646954.0716,6208031.735,Forest,-34.25847577,-55.40391499
21,660344.6782,6197303.501,Forest,-34.35320349,-55.25653668
22,568454.8588,6195961.741,Naturalgrassland,-34.37545645,-56.25544389
23,568958.211,6195257.0479999995,Naturalgrassland,-34.38177766,-56.24991289
24,569024.8303,6196238.208,Naturalgrassland,-34.37292552,-56.24926725
25,569108.7224,6196892.566000001,Naturalgrassland,-34.36701918,-56.24840759
26,569254.8378,6198317.557999999,Naturalgrassland,-34.35415939,-56.2469336
27,570180.4394,6193643.96,Naturalgrassland,-34.39624154,-56.23648717
28,578406.7362,6214251.082,Naturalgrassland,-34.20982616,-56.14887605
29,578554.1828,6221319.105,Naturalgrassland,-34.14607804,-56.14791661
30,578507.4066,6215207.4520000005,Naturalgrassland,-34.2011944,-56.14787015
31,578866.0673,6217082.632,Naturalgrassland,-34.18425763,-56.14414843
32,578695.8597,6195764.707,Naturalgrassland,-34.37650489,-56.14404879
33,578824.3244,6193130.491,Naturalgrassland,-34.40024872,-56.14240945
34,579564.0706,6195527.268999999,Naturalgrassland,-34.37857954,-56.13458444
35,580368.4158,6219880.259,Naturalgrassland,-34.1589149,-56.12810613
36,581442.2339,6220031.2639999995,Naturalgrassland,-34.15746989,-56.11647198
37,582064.9528,6219158.9860000005,Naturalgrassland,-34.16528693,-56.10963454
38,582613.0576,6218708.131,Naturalgrassland,-34.16930927,-56.10364553
39,583806.9364,6218200.579,Naturalgrassland,-34.17379084,-56.09064424
40,584511.6295,6218536.147000001,Naturalgrassland,-34.17070796,-56.08303148
41,584780.084,6217445.551,Naturalgrassland,-34.18052061,-56.0800123
42,586697.4005,6197970.738,Naturalgrassland,-34.35597317,-56.05725119
43,586772.3581,6203175.183999999,Naturalgrassland,-34.30903733,-56.05696153
44,587490.0952,6190241.299,Naturalgrassland,-34.42560359,-56.04784354
